"According to the Korean view, these refer to today's Liancourt Rocks, while the Japanese researchers of these documents have stated that the various references to Usan-do refer at different times to Jukdo, its neighboring island Ulleungdo, or a non-existent island between Ulleungdo and Korea.","Menurut pandangan Korea, ini mengacu pada Karang Liancourt saat ini, sementara para peneliti dokumen-dokumen ini dari Jepang telah menyatakan bahwa berbagai referensi untuk Usan-do mengacu pada waktu yang berbeda untuk Jukdo, pulau tetangganya Ulleungdo, atau pulau yang tidak ada antara Ulleungdo dan Korea."
"Working with magicians George Alfred Cooke and David Devant, many of his illusions are still performed today.","Berkarya dengan pesulap George Alfred Cooke dan David Devant, beberapa ilusinya masih ditampilkan sampai sekarang."
"These languages belong to the Austro-Asiatic, Tibeto-Burman and Tai families of languages now found in South East Asia and southwest of China.",Bahasa Suku Thai berkerabat dengan keluarga Bahasa Tai-Kadai yang tersebar di Tiongkok Selatan dan Asia Tenggara.
"""I'm going to have to make a judgment in the next little while as to whether or not this Parliament can function productively,"" Harper said.","Jika ada, kita menghindar dari pelaporan angka seperti itu ini sangat sulit untuk membuktikan "" penerbit HarperCollins menyatakan:""."
"In the kingdom of Osroene, centred on Edessa and founded in 132 BC, the regional dialect became the official language: Old Syriac.","Dalam kerajaan Osrhoene yang terletak di Edessa dan didirikan pada 132 SM, dialek regional menjadi bahasa resmi: Suryani Kuno."
Costa Rica: Jungle 4.,Jakarta: Salemba Empat.
The outrage cannot endure.,Suasana kekalahan tak bertahan.
A Brief Introduction to Islamic Philosophy.,Ia bercita-cita memperdalam filsafat Islam.
"It was his private residence in Santa Monica, California, that jump-started his career.","Gedung yang dirancangnya, termasuk tempat tinggal pribadinya di Santa Monica, California, telah menjadi atraksi wisatawan."
The Shōwa Financial Crisis occurred after the post–World War I business boom in Japan.,Krisis Keuangan Shōwa terjadi setelah bom bisnis pasca–Perang Dunia I di Jepang.
