epoch,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_bleu,eval_gen_len,should_save
1.0,3.068488359451294,15.6962,127.42,7.964,1.4038,19.623,N/A
2.0,2.980410575866699,15.7704,126.82,7.926,1.3587,19.6555,N/A
3.0,2.9050629138946533,15.925,125.588,7.849,1.3453,19.673,N/A
4.0,2.8442442417144775,15.8451,126.222,7.889,1.4046,19.6805,N/A
5.0,2.792792320251465,15.8682,126.038,7.877,1.4478,19.678,N/A
6.0,2.7459404468536377,15.9132,125.682,7.855,1.4798,19.689,N/A
7.0,2.7029404640197754,15.9392,125.477,7.842,1.4864,19.6965,N/A
8.0,2.6680092811584473,15.9398,125.472,7.842,1.5284,19.6995,N/A
9.0,2.63385009765625,15.9232,125.603,7.85,1.5196,19.706,N/A
10.0,2.6027467250823975,15.8577,126.122,7.883,1.5713,19.7125,N/A
11.0,2.5755274295806885,16.1514,123.828,7.739,1.6042,19.7155,N/A
12.0,2.5522618293762207,15.8476,126.202,7.888,1.6253,19.7115,N/A
13.0,2.5284996032714844,15.8679,126.041,7.878,1.6516,19.716,N/A
14.0,2.5087368488311768,15.7859,126.695,7.918,1.7021,19.71,N/A
15.0,2.48954176902771,15.7831,126.718,7.92,1.7221,19.694,N/A
16.0,2.470390796661377,15.8554,126.14,7.884,1.7498,19.7075,N/A
17.0,2.456495523452759,15.7958,126.616,7.913,1.7731,19.713,N/A
18.0,2.4413294792175293,15.831,126.334,7.896,1.7811,19.7085,N/A
19.0,2.426323652267456,15.8821,125.928,7.87,1.7853,19.711,N/A
20.0,2.4134411811828613,15.8631,126.079,7.88,1.8364,19.704,N/A
21.0,2.404263734817505,15.8261,126.374,7.898,1.8615,19.6955,N/A
22.0,2.3914291858673096,15.9734,125.208,7.826,1.8275,19.7045,N/A
23.0,2.381955146789551,15.7721,126.806,7.925,1.8895,19.699,N/A
24.0,2.3721671104431152,15.7033,127.362,7.96,1.8727,19.7025,N/A
25.0,2.365142583847046,15.8254,126.379,7.899,1.915,19.6995,N/A
26.0,2.3571321964263916,15.7624,126.884,7.93,1.9165,19.7065,N/A
27.0,2.3497769832611084,15.7008,127.382,7.961,1.9115,19.703,N/A
28.0,2.344301462173462,15.832,126.327,7.895,1.9141,19.7045,N/A
29.0,2.3394150733947754,15.6997,127.391,7.962,1.9401,19.703,N/A
30.0,2.3311212062835693,15.8348,126.304,7.894,1.9058,19.703,N/A
31.0,2.3276989459991455,15.7453,127.022,7.939,1.939,19.7065,N/A
32.0,2.323852062225342,15.7471,127.007,7.938,1.935,19.7015,N/A
33.0,2.320528268814087,16.1174,124.09,7.756,1.929,19.7015,N/A
34.0,2.317575693130493,15.649,127.804,7.988,1.9381,19.7025,N/A
35.0,2.313723564147949,15.7516,126.971,7.936,1.9315,19.7045,N/A
36.0,2.3120172023773193,15.8253,126.38,7.899,1.9414,19.7045,N/A
37.0,2.3111155033111572,15.8238,126.392,7.899,1.9608,19.7045,N/A
38.0,2.30989408493042,15.8001,126.582,7.911,1.9544,19.703,N/A
39.0,2.3089942932128906,15.8146,126.465,7.904,1.9579,19.702,N/A
40.0,2.308777093887329,15.7574,126.925,7.933,1.9537,19.703,N/A
